HH_ID,EF_ID,CF_ID,PP_ID,CMA,AGEGRP,SEX,KOL,ATTSCH,CIP2021,NOC21,EMPIN,TOTINC,BEDRM,ROOM,DTYPE,MARSTH,CFSTAT,BUILT,CONDO,GENSTAT,CITIZEN,LFTAG,CF_RP,COW,POWST,INCTAX,PR,VALUE,REPAIR,HRSWRK,MODE,PID,HHSIZE,SIM_HH_ID,MATCH_ID_WD,MATCH_TIER_WD,MATCH_ID_WE,MATCH_TIER_WE
99362,993621,9936211,993621101,2,5,1,1,0,5,99,1,65000,2,3,3,2,1,2,1,4,1,4,1,9,9,13000,35,550000,1,0,9,d2f2c7c2,2,112295,7358,3_Constraints,7913,3_Constraints
130509,1305091,13050911,1305091102,1,3,2,2,0,13,8,50000,50000,3,7,1,2,2,8,0,4,1,1,2,1,6,15000,24,500000,2,5,2,d657bdf6,3,112295,3098,4_FailSafe,4153,4_FailSafe
99499,994991,9949911,994991101,1,7,2,1,0,13,88,47000,65000,5,9,3,2,2,4,0,8,8,1,1,1,4,10000,35,960000,1,5,2,aa649e38,5,112402,12979,5_Random,11595,4_FailSafe
124113,1241131,12411311,1241131102,2,6,1,1,0,5,99,99999999,18000,2,6,3,2,1,4,0,4,1,4,2,9,9,99999999,35,170000,1,0,9,793e86f6,2,112402,4656,3_Constraints,7913,4_FailSafe
90859,908591,9085911,908591103,1,1,1,1,1,8,5,12000,21000,4,7,1,1,4,6,0,3,1,3,2,1,9,99999999,35,2684905,1,0,9,4f8bee37,3,112402,3098,4_FailSafe,4153,4_FailSafe
99811,998111,9981111,998111101,2,5,2,3,0,3,5,20000,19000,3,8,1,2,1,4,0,4,1,4,1,1,9,3000,24,260000,2,0,9,3728e827,2,112623,5056,3_Constraints,7913,4_FailSafe
109383,1093831,10938311,1093831102,1,6,1,1,0,13,99,99999999,62000,4,8,1,2,1,2,0,1,3,4,2,9,9,10000,35,1010000,1,0,9,b60f0162,2,112623,4656,3_Constraints,7913,4_FailSafe
99864,998641,9986411,998641101,2,7,2,1,0,11,99,99999999,33000,2,5,1,3,3,11,0,1,2,4,1,9,9,3000,59,750000,1,0,9,6eca946d,2,112656,6320,3_Constraints,7913,4_FailSafe
99865,998651,9986511,998651101,2,4,1,2,0,5,1,64000,63000,2,7,1,2,1,4,0,4,1,1,1,1,1,4000,24,661494,1,7,9,47dbdc61,2,112657,1495,4_FailSafe,10824,3_Constraints
117854,1178541,11785411,1178541101,1,5,2,1,0,13,99,99999999,48000,2,6,2,1,5,11,1,4,1,5,2,9,9,1000,59,99999999,1,0,9,6eeb734e,2,112657,5056,3_Constraints,7913,4_FailSafe
100000,1000001,10000011,1000001101,1,3,1,3,0,1,5,83000,87000,5,9,1,2,2,9,0,2,1,1,1,1,4,19000,24,380000,1,4,2,048e8069,3,112751,3098,4_FailSafe,10471,3_Constraints
148035,1480351,14803511,1480351102,2,5,1,1,0,13,99,99999999,36000,3,6,3,2,1,4,0,4,1,4,2,9,9,99999999,35,99999999,2,0,9,02bb8952,2,112751,7358,3_Constraints,7913,3_Constraints
100257,1002571,10025711,1002571101,1,7,2,1,0,8,99,99999999,29000,4,8,3,2,1,7,1,1,2,4,1,9,9,1,35,810000,2,0,9,315407c5,2,112924,6854,1_Perfect,7913,4_FailSafe
50763,507631,5076311,507631106,1,1,1,1,8,13,99,6000,6000,5,11,1,1,4,10,0,2,1,5,2,9,9,99999999,35,2684905,1,0,9,c76a52fe,5,112924,12979,5_Random,11595,3_Constraints
100482,1004821,10048211,1004821101,2,6,1,2,0,6,99,99999999,51000,2,4,2,1,1,10,1,4,1,4,1,9,9,6000,24,99999999,2,0,9,2b007d2c,2,113090,4656,3_Constraints,7913,4_FailSafe
75832,758321,7583211,758321102,1,7,1,1,1,13,7,16000,23000,2,5,2,1,5,6,0,2,1,1,2,1,4,99999999,59,99999999,1,2,6,fae6e9d4,4,113090,7407,4_FailSafe,1900,5_Random
100489,1004891,10048911,1004891101,2,6,1,1,0,5,99,99999999,18000,4,8,1,2,1,3,0,4,1,4,1,9,9,99999999,10,360000,1,0,9,d2d08f99,2,113094,4656,3_Constraints,7913,4_FailSafe
100642,1006421,10064211,1006421101,2,2,2,1,0,10,4,77000,78000,3,7,3,1,1,1,0,3,1,1,1,1,4,17000,10,190000,2,7,2,2f55f469,2,113200,1495,4_FailSafe,9179,3_Constraints
33467,334671,3346711,334671103,2,1,1,1,1,13,9,99999999,12000,3,7,1,1,4,1,0,3,1,1,2,1,2,99999999,35,470000,2,5,2,abfce00f,3,113200,3098,4_FailSafe,4153,4_FailSafe
101110,1011101,10111011,1011101101,1,3,2,1,0,4,2,99999999,98000,2,4,2,2,2,4,0,2,1,1,1,2,4,17000,48,99999999,1,7,4,28b55489,4,113505,7407,4_FailSafe,1900,5_Random
48899,488991,4889911,488991102,2,5,1,1,0,5,99,99999999,17000,3,9,1,2,1,7,0,4,1,4,2,9,9,5000,48,340000,1,0,9,45a697b6,2,113505,7358,3_Constraints,7913,3_Constraints
70019,700191,7001911,700191102,2,2,2,1,0,88,99,99999999,27000,4,5,1,2,1,1,0,4,1,4,2,9,9,1000,35,600000,1,0,9,a1992eea,2,113505,1495,4_FailSafe,9179,3_Constraints
101143,1011431,10114311,1011431101,2,7,1,1,0,13,99,99999999,89000,3,6,1,2,1,7,0,1,2,4,1,9,9,18000,59,600000,1,0,9,a9d49d61,2,113527,9061,3_Constraints,7913,4_FailSafe
101240,1012401,10124011,1012401101,1,5,2,3,0,13,99,99999999,27000,4,7,3,2,1,3,0,4,1,4,1,9,9,3000,24,310000,1,0,9,873611c1,2,113595,5056,3_Constraints,7913,4_FailSafe
101812,1018121,10181211,1018121101,2,5,1,2,0,5,5,7000,90000,3,7,3,2,1,2,0,4,1,1,1,1,4,8000,24,230000,2,4,2,d840c647,2,113974,7358,3_Constraints,7913,3_Constraints
102081,1020811,10208112,1020811204,2,1,1,1,1,13,99,99999999,99999999,3,6,1,1,1,4,0,4,1,5,1,9,9,99999999,35,160000,2,0,9,8b330de6,5,114172,12979,5_Random,11595,3_Constraints
110976,1109761,11097611,1109761104,1,1,2,1,8,8,88,22000,32000,5,6,2,1,4,6,0,2,1,1,2,1,5,2000,59,1200000,1,5,2,14a8cd09,5,114172,12979,5_Random,11595,4_FailSafe
95804,958041,9580411,958041102,1,3,1,1,0,11,2,7000,36000,3,6,3,2,2,10,0,2,1,2,2,1,5,2000,35,1200000,1,0,2,b71f9e34,4,114172,8727,3_Constraints,1900,5_Random
62000,620001,6200011,620001102,1,2,1,1,0,6,2,84000,89000,1,2,2,2,1,11,1,2,1,1,2,1,4,14000,59,510000,2,5,7,17a2e735,2,114172,1495,4_FailSafe,7913,4_FailSafe
102258,1022581,10225811,1022581101,2,6,2,1,0,9,9,2000,58000,3,9,1,2,1,5,0,4,1,1,1,2,4,10000,35,600000,1,3,2,f9a1539b,2,114284,12425,3_Constraints,5599,3_Constraints
98188,981881,9818811,981881102,1,5,1,3,0,13,7,38000,38000,4,8,3,2,2,7,0,4,1,1,2,1,5,4000,24,350000,1,4,2,68976f58,3,114284,3098,4_FailSafe,4153,3_Constraints
102292,1022921,10229211,1022921101,1,2,1,3,1,9,5,42000,50000,2,4,2,1,1,11,1,3,1,1,1,1,5,9000,24,430000,1,5,7,325aa081,2,114311,1495,4_FailSafe,7913,4_FailSafe
3072,30721,307211,30721104,1,1,1,1,1,13,99,99999999,4000,4,8,1,1,4,10,0,2,1,5,2,9,9,99999999,35,1110000,1,0,9,0d08c3ac,4,114311,7407,4_FailSafe,1900,5_Random
102297,1022971,10229711,1022971101,2,5,1,3,0,5,88,140000,229981,5,9,1,3,3,8,0,2,1,1,1,1,1,103635,10,774007,2,8,9,182b3db6,2,114314,7358,3_Constraints,7913,3_Constraints
31318,313181,3131811,313181102,2,7,1,1,8,13,99,99999999,1000,3,6,1,2,2,1,0,4,1,5,2,8,9,99999999,46,180000,2,0,9,c93f3b49,5,114314,12979,5_Random,11595,4_FailSafe
102368,1023681,10236811,1023681101,1,7,1,1,0,13,99,99999999,26000,3,5,3,3,3,4,1,1,2,4,1,9,9,99999999,35,740000,1,0,9,78f4b56e,2,114361,9061,3_Constraints,7913,4_FailSafe
