HH_ID,EF_ID,CF_ID,PP_ID,CMA,AGEGRP,SEX,KOL,ATTSCH,CIP2011,NOCS,EMPIN,TOTINC,BEDRM,ROOM,DTYPE,MARSTH,CFSTAT,BUILT,CONDO,GENSTAT,CITIZEN,LFTAG,CF_RP,COW,POWST,INCTAX,PR,VALUE,REPAIR,HRSWRK,MODE,HHSIZE,EFSIZE,CFSIZE,PID,SIM_HH_ID,MATCH_ID_WD,MATCH_TIER_WD,MATCH_ID_WE,MATCH_TIER_WE
75218,752181,7521811,75218111,2,4,2,1,1,13,5,49000,8,4,8,1,1,2,3,0,4,1,1,1,1,2,7000,10,50000,1,5,2,4,4,4,a1d0f062,89005,3406,2_Core,1,3_Constraints
75251,752511,7525111,75251112,1,6,1,3,1,13,8,22000,7,3,7,1,1,2,4,0,4,1,1,1,1,6,3000,24,250000,1,4,2,3,3,3,7a925f94,89031,7359,3_Constraints,3479,3_Constraints
45344,453441,4534411,45344112,1,5,2,1,1,13,5,36000,8,2,5,3,1,1,6,1,3,1,1,2,1,4,8000,59,9999999,1,4,2,2,2,2,1be0f714,89031,3842,1_Perfect,15064,1_Perfect
55238,552381,5523811,55238114,1,1,2,1,1,13,5,15000,5,3,6,1,2,4,7,0,1,2,2,2,1,8,1,48,9999999,2,0,8,4,4,4,b93f642e,89031,12388,3_Constraints,4677,3_Constraints
75284,752841,7528411,75284111,2,4,2,2,1,13,3,48000,8,3,9,1,1,1,4,0,4,1,1,1,1,5,8000,24,150000,2,5,2,2,2,2,d8220a06,89048,4769,2_Core,2128,3_Constraints
76941,769411,7694111,76941112,1,1,2,3,2,13,6,3000,2,4,7,1,2,5,9,0,3,1,4,2,1,4,0,35,530000,1,0,1,2,2,2,fb851e29,89048,13118,3_Constraints,10453,3_Constraints
75389,753891,7538911,75389111,1,7,2,3,1,13,2,1000,9,2,5,5,1,1,6,1,2,1,4,1,1,4,5000,24,330000,1,0,2,2,2,2,58814cf6,89127,14948,3_Constraints,11820,2_Core
75404,754041,7540411,75404111,2,5,2,1,1,13,99,0,8,3,6,1,1,2,3,0,1,2,4,1,9,9,8000,46,250000,1,0,9,3,3,3,84d3d661,89136,1160,2_Core,9184,4_FailSafe
75462,754621,7546211,75462111,1,6,2,1,1,88,99,0,5,3,4,1,1,2,3,0,1,2,4,1,9,9,1,24,270000,2,0,9,4,4,4,220c7865,89174,10061,4_FailSafe,12176,4_FailSafe
72634,726341,7263411,72634112,1,3,1,1,1,10,99,0,1,2,5,6,1,1,3,0,1,3,3,2,9,9,0,35,9999999,1,0,9,2,2,2,ce429361,89174,921,3_Constraints,5696,3_Constraints
75457,754571,7545711,75457112,2,1,1,1,2,13,7,5000,3,2,5,8,2,5,7,0,4,1,1,2,1,4,0,59,110000,1,3,2,2,2,2,e13966e8,89174,8560,3_Constraints,9225,4_FailSafe
75478,754781,7547812,75478122,2,4,1,1,1,13,5,7000,3,5,8,1,1,1,6,0,4,1,1,1,5,1,0,46,250000,1,6,9,3,3,2,94b6a435,89185,9475,2_Core,10747,2_Core
111230,1112301,11123011,111230113,2,4,2,1,1,4,99,0,2,2,4,6,2,4,6,1,4,1,4,2,9,9,0,35,200000,1,0,9,3,3,3,e156f24b,89185,894,2_Core,6512,3_Constraints
75480,754801,7548011,75480111,1,3,2,1,1,5,99,23000,6,4,5,1,1,2,9,0,1,2,5,1,9,9,1000,59,600000,1,0,9,5,5,5,379fd4e0,89187,14226,3_Constraints,2273,3_Constraints
14586,145861,1458611,14586113,1,7,2,1,1,7,99,0,10,4,11,1,1,2,2,0,1,2,4,2,9,9,14000,35,1205546,1,0,9,3,3,3,550ed9aa,89187,12228,4_FailSafe,7601,4_FailSafe
66,661,6611,66113,1,2,2,2,1,88,3,0,2,5,11,1,2,4,6,0,4,1,3,2,1,2,0,24,370000,2,0,2,4,4,4,6f6ff8cb,89187,7337,3_Constraints,11289,3_Constraints
5475,54751,547511,5475112,2,2,1,1,1,11,2,70000,10,4,7,1,1,1,10,0,4,1,1,2,1,6,13000,35,450000,1,7,2,2,2,2,a1eb4d11,89187,12606,2_Core,14241,2_Core
75513,755131,7551311,75513111,1,3,2,1,2,6,10,58000,9,3,6,2,1,2,10,0,1,2,1,1,1,4,9000,35,350000,1,6,2,4,4,4,c9a04286,89207,8679,2_Core,14466,3_Constraints
37126,371261,3712611,37126112,2,5,2,2,1,13,8,32000,7,5,7,1,1,1,5,0,4,1,1,2,1,5,2000,24,9999999,1,10,2,2,2,2,08bd0d63,89207,518,2_Core,10877,2_Core
129261,1292611,12926111,129261112,2,5,1,1,1,13,2,42000,8,4,8,1,1,1,6,0,4,1,1,2,5,1,10000,35,430000,1,3,9,2,2,2,c837ba21,89207,12415,2_Core,1891,2_Core
75516,755161,7551611,75516111,2,5,2,3,1,13,99,0,5,2,5,1,1,1,4,0,4,1,4,1,9,9,0,35,150000,1,0,9,2,2,2,58be9ba8,89210,697,2_Core,8628,2_Core
75519,755191,7551911,75519111,2,3,1,1,1,13,2,15000,6,3,7,1,1,2,10,0,3,1,1,1,1,4,2000,59,550000,1,4,2,4,4,4,8695e5d1,89212,15209,2_Core,9435,3_Constraints
119501,1195011,11950111,119501112,2,2,1,3,1,13,2,24000,6,4,7,1,1,2,5,0,1,1,2,2,1,6,2000,10,80000,3,0,5,3,3,3,5724857b,89212,1905,3_Constraints,7981,3_Constraints
75523,755231,7552311,75523111,1,6,2,1,1,8,99,0,7,4,9,1,1,1,3,0,1,2,4,1,9,9,2000,35,300000,1,0,9,2,2,2,37e0d23e,89216,4435,2_Core,4589,3_Constraints
94850,948501,9485011,94850111,2,4,1,3,1,7,5,11000,4,2,5,1,2,5,7,0,4,1,1,2,1,4,1000,24,20000,1,3,2,2,2,2,e4f436ac,89216,12374,3_Constraints,2373,2_Core
75525,755251,7552511,75525111,1,3,1,1,1,10,4,15000,5,3,7,1,1,2,6,0,1,3,1,1,1,4,1,48,9999999,1,3,6,5,5,5,41dcc497,89217,5491,3_Constraints,1113,2_Core
91975,919751,9197511,91975113,1,1,1,3,2,13,99,0,1,4,9,1,2,4,7,0,4,1,5,2,9,9,0,35,690000,1,0,9,5,5,5,8a7bf119,89217,7734,3_Constraints,10549,3_Constraints
6290,62901,629011,6290112,1,5,2,1,1,6,10,140000,12,3,7,1,1,2,6,0,4,1,1,2,1,4,36000,48,450000,2,4,2,4,4,4,d997c89f,89217,15240,3_Constraints,602,4_FailSafe
53172,531721,5317211,53172112,1,4,1,1,1,5,5,33000,7,4,10,1,1,2,4,0,4,1,1,2,1,5,4000,48,300000,2,3,2,4,4,4,59d690ea,89217,4906,3_Constraints,3609,3_Constraints
75552,755521,7555211,75552112,2,7,1,2,1,13,99,0,5,2,5,1,3,3,2,0,4,1,5,1,9,9,0,24,30000,1,0,9,2,2,2,bcffc432,89234,4308,3_Constraints,9841,3_Constraints
45817,458171,4581711,45817112,2,4,1,1,1,13,6,5000,3,3,7,1,1,2,1,0,4,1,1,2,5,5,0,35,180000,3,2,2,4,4,4,edd4079a,89234,728,3_Constraints,13672,2_Core
75654,756541,7565411,75654111,2,5,2,3,1,5,1,17000,7,4,11,1,2,3,3,0,4,1,1,1,5,5,1,24,270000,2,4,2,4,4,4,8965d341,89293,15240,3_Constraints,4677,4_FailSafe
43428,434281,4342811,43428113,2,1,1,1,2,3,7,15000,5,4,10,1,2,4,5,0,4,1,1,2,1,6,0,35,240000,1,5,7,3,3,3,afb055af,89293,9785,2_Core,3199,3_Constraints
37000,370001,3700011,37000112,2,5,1,3,1,13,10,6000,4,3,6,1,1,1,5,0,4,1,3,2,1,6,1,10,100000,1,0,2,2,2,2,2d35bace,89293,2723,3_Constraints,2146,3_Constraints
75736,757361,7573611,75736111,2,5,2,1,1,13,3,91000,12,3,8,1,1,1,6,0,4,1,1,1,1,4,29000,35,220000,1,5,2,2,2,2,b1513762,89349,7141,2_Core,10877,3_Constraints
127199,1271991,12719911,127199113,2,1,2,3,2,4,7,7000,3,4,9,1,2,4,6,0,4,1,1,2,1,4,0,24,150000,1,3,2,4,4,4,a73f429f,89354,2095,3_Constraints,4677,3_Constraints
69965,699651,6996511,69965112,1,4,1,1,1,13,99,0,2,3,4,2,1,2,8,0,1,2,5,2,9,9,0,35,330000,1,0,9,4,4,4,3e21b9a6,89354,728,3_Constraints,3609,3_Constraints
5294,52941,529411,5294113,2,1,1,1,2,13,7,1000,2,5,8,1,2,4,9,0,4,1,4,2,1,4,0,35,260000,1,0,2,3,3,3,34c9ea6f,89354,5983,2_Core,14951,3_Constraints
