HH_ID,EF_ID,CF_ID,PP_ID,CMA,AGEGRP,SEX,KOL,ATTSCH,CIP,NOCS,EMPIN,TOTINC,BEDRM,ROOM,DTYPE,MARSTH,CFSTAT,BUILT,CONDO,GENSTAT,CITIZEN,LFTAG,CF_RP,COW,POWST,INCTAX,PR,VALUE,REPAIR,HRSWRK,MODE,HHSIZE,EFSIZE,CFSIZE,PID,SIM_HH_ID,MATCH_ID_WD,MATCH_TIER_WD,MATCH_ID_WE,MATCH_TIER_WE
89616,896161,8961611,896161103,2,1,2,1,2,13,7,7000,7,3,4,1,1,3,1,0,4,1,1,2,1,4,4000,48,350000,1,1,2,3,3,3,0b6fce08,92021,13882.0,3_Constraints,5878.0,3_Constraints
2850,28501,285011,28501102,2,2,2,1,1,11,10,59000,9,3,4,2,2,1,2,9,4,1,1,2,1,5,13000,35,0,2,6,2,2,2,2,fb47d64e,71872,868.0,2_Core,19117.0,2_Core
50634,506341,5063411,506341101,2,5,2,1,1,13,99,0,3,2,4,1,1,6,2,0,4,1,4,3,9,9,0,35,150000,1,0,9,3,1,1,5aff7c22,110313,16042.0,3_Constraints,12316.0,3_Constraints
101003,1010031,10100311,1010031102,2,3,1,1,1,13,4,63000,10,2,4,1,2,1,2,0,4,1,1,2,1,4,15000,10,410405,2,4,2,2,2,2,55d99d82,65948,3031.0,2_Core,1719.0,3_Constraints
86196,861961,8619611,861961101,1,3,2,1,1,8,8,0,2,2,4,1,2,1,1,0,4,1,1,1,1,5,0,46,280000,1,6,2,3,3,3,ae37c5a3,88505,7219.0,3_Constraints,14875.0,3_Constraints
49239,492392,4923922,492392202,2,2,2,1,1,13,1,31000,7,2,2,3,1,6,2,9,4,1,1,3,1,4,3000,48,0,2,10,7,2,1,1,1462c632,112099,9891.0,3_Constraints,17447.0,3_Constraints
8749,87491,874911,87491101,1,3,2,1,1,11,7,0,3,2,3,3,1,6,1,0,3,1,1,3,3,4,1,35,1006598,1,10,7,2,1,1,def4429c,112664,9160.0,3_Constraints,14647.0,3_Constraints
121942,1219421,12194211,1219421102,2,1,1,1,1,13,1,22000,6,2,4,1,1,3,1,0,4,1,1,2,1,4,2000,35,200000,1,6,2,3,3,3,8801b135,51565,12233.0,3_Constraints,3696.0,3_Constraints
11848,118481,1184812,118481202,2,5,2,1,1,8,8,65000,10,3,4,1,2,1,1,0,1,2,1,1,1,1,0,48,934144,1,7,9,3,3,2,13a404a6,44234,16042.0,3_Constraints,18966.0,3_Constraints
4246,42461,424611,42461102,2,4,1,2,2,1,4,10000,4,2,3,2,2,1,1,0,4,1,2,2,1,4,0,24,170000,1,0,2,2,2,2,cf12b7f6,44165,19384.0,3_Constraints,10494.0,3_Constraints
